trading_date,seq,code,period,source,subscription,received_at,event_time,quote.time,quote.open,quote.high,quote.low,quote.close,quote.volume,quote.amount,quote.settelementPrice,quote.settlementPrice,quote.openInterest,quote.preClose,quote.suspendFlag,quote.dr,quote.totaldr
2026-09-10,247492,000001.SZ,1m,stock,000001.SZ,1789009565825807,1789009620000000,1789009620000,11.81,11.81,11.8,11.81,432,510183.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,253203,000001.SZ,1m,stock,000001.SZ,1789009568892456,1789009620000000,1789009620000,11.81,11.81,11.8,11.81,501,591672.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,258657,000001.SZ,1m,stock,000001.SZ,1789009571890162,1789009620000000,1789009620000,11.81,11.81,11.8,11.8,502,592852.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,264712,000001.SZ,1m,stock,000001.SZ,1789009574930765,1789009620000000,1789009620000,11.81,11.81,11.8,11.81,512,604662.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,270660,000001.SZ,1m,stock,000001.SZ,1789009577878717,1789009620000000,1789009620000,11.81,11.81,11.8,11.81,614,725124.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,277228,000001.SZ,1m,stock,000001.SZ,1789009580876064,1789009620000000,1789009620000,11.81,11.81,11.8,11.81,626,739285.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,283773,000001.SZ,1m,stock,000001.SZ,1789009583815192,1789009620000000,1789009620000,11.81,11.81,11.8,11.8,894,1055779.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,290042,000001.SZ,1m,stock,000001.SZ,1789009586902599,1789009620000000,1789009620000,11.81,11.81,11.8,11.81,1361,1607306.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,297904,000001.SZ,1m,stock,000001.SZ,1789009590630150,1789009620000000,1789009620000,11.81,11.81,11.8,11.8,1429,1687601.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,301517,000001.SZ,1m,stock,000001.SZ,1789009592817234,1789009620000000,1789009620000,11.81,11.81,11.8,11.81,1430,1688782.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,307372,000001.SZ,1m,stock,000001.SZ,1789009595833517,1789009620000000,1789009620000,11.81,11.81,11.8,11.81,1465,1730117.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,312931,000001.SZ,1m,stock,000001.SZ,1789009598857537,1789009620000000,1789009620000,11.81,11.81,11.8,11.8,1477,1744279.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,318794,000001.SZ,1m,stock,000001.SZ,1789009601828317,1789009620000000,1789009620000,11.81,11.81,11.8,11.8,1487,1756079.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,324597,000001.SZ,1m,stock,000001.SZ,1789009604814692,1789009620000000,1789009620000,11.81,11.82,11.8,11.82,1749,2065564.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,329975,000001.SZ,1m,stock,000001.SZ,1789009607814241,1789009620000000,1789009620000,11.81,11.82,11.8,11.81,1789,2112804.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,335391,000001.SZ,1m,stock,000001.SZ,1789009610820614,1789009620000000,1789009620000,11.81,11.82,11.8,11.81,1789,2112804.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,340584,000001.SZ,1m,stock,000001.SZ,1789009613817758,1789009620000000,1789009620000,11.81,11.82,11.8,11.81,1827,2157682.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,346014,000001.SZ,1m,stock,000001.SZ,1789009616934878,1789009620000000,1789009620000,11.81,11.82,11.8,11.8,1833,2164767.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,352251,000001.SZ,1m,stock,000001.SZ,1789009620272045,1789009680000000,1789009680000,11.8,11.8,11.8,11.8,37,43661.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,356869,000001.SZ,1m,stock,000001.SZ,1789009622915240,1789009680000000,1789009680000,11.8,11.81,11.8,11.81,245,289309.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,362413,000001.SZ,1m,stock,000001.SZ,1789009625815488,1789009680000000,1789009680000,11.8,11.81,11.8,11.81,301,355408.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,367903,000001.SZ,1m,stock,000001.SZ,1789009628823286,1789009680000000,1789009680000,11.8,11.81,11.8,11.81,340,401493.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,373141,000001.SZ,1m,stock,000001.SZ,1789009631827864,1789009680000000,1789009680000,11.8,11.81,11.8,11.81,377,445169.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,378497,000001.SZ,1m,stock,000001.SZ,1789009634816058,1789009680000000,1789009680000,11.8,11.81,11.8,11.81,377,445169.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,383848,000001.SZ,1m,stock,000001.SZ,1789009637818996,1789009680000000,1789009680000,11.8,11.81,11.8,11.81,377,445169.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,388992,000001.SZ,1m,stock,000001.SZ,1789009640886907,1789009680000000,1789009680000,11.8,11.81,11.8,11.81,394,465246.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,394109,000001.SZ,1m,stock,000001.SZ,1789009643815040,1789009680000000,1789009680000,11.8,11.81,11.8,11.81,440,519571.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,399346,000001.SZ,1m,stock,000001.SZ,1789009646867967,1789009680000000,1789009680000,11.8,11.81,11.8,11.81,464,547895.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,404805,000001.SZ,1m,stock,000001.SZ,1789009649839462,1789009680000000,1789009680000,11.8,11.81,11.8,11.81,477,563236.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,410743,000001.SZ,1m,stock,000001.SZ,1789009652813597,1789009680000000,1789009680000,11.8,11.81,11.8,11.81,483,570322.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,416502,000001.SZ,1m,stock,000001.SZ,1789009655924129,1789009680000000,1789009680000,11.8,11.81,11.8,11.81,493,582132.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,421867,000001.SZ,1m,stock,000001.SZ,1789009658823672,1789009680000000,1789009680000,11.8,11.81,11.8,11.81,494,583313.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,427035,000001.SZ,1m,stock,000001.SZ,1789009661868695,1789009680000000,1789009680000,11.8,11.81,11.8,11.81,497,586856.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,432281,000001.SZ,1m,stock,000001.SZ,1789009664859452,1789009680000000,1789009680000,11.8,11.81,11.8,11.8,500,590396.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,437222,000001.SZ,1m,stock,000001.SZ,1789009667826897,1789009680000000,1789009680000,11.8,11.81,11.8,11.81,504,595120.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,442744,000001.SZ,1m,stock,000001.SZ,1789009670817420,1789009680000000,1789009680000,11.8,11.81,11.8,11.81,504,595120.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,448113,000001.SZ,1m,stock,000001.SZ,1789009673836009,1789009680000000,1789009680000,11.8,11.81,11.8,11.81,509,601024.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,453311,000001.SZ,1m,stock,000001.SZ,1789009676811907,1789009680000000,1789009680000,11.8,11.81,11.8,11.81,525,619920.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,459544,000001.SZ,1m,stock,000001.SZ,1789009680204275,1789009740000000,1789009740000,11.81,11.81,11.81,11.81,22,25965.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,464074,000001.SZ,1m,stock,000001.SZ,1789009682937648,1789009740000000,1789009740000,11.81,11.81,11.81,11.81,22,25965.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,469821,000001.SZ,1m,stock,000001.SZ,1789009685956055,1789009740000000,1789009740000,11.81,11.81,11.81,11.81,28,33049.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,475101,000001.SZ,1m,stock,000001.SZ,1789009688846612,1789009740000000,1789009740000,11.81,11.81,11.81,11.81,28,33049.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,481254,000001.SZ,1m,stock,000001.SZ,1789009691852552,1789009740000000,1789009740000,11.81,11.81,11.8,11.8,42,49574.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,487506,000001.SZ,1m,stock,000001.SZ,1789009694871817,1789009740000000,1789009740000,11.81,11.81,11.8,11.81,312,368433.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,493289,000001.SZ,1m,stock,000001.SZ,1789009697869161,1789009740000000,1789009740000,11.81,11.81,11.8,11.81,499,589104.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,499135,000001.SZ,1m,stock,000001.SZ,1789009700829066,1789009740000000,1789009740000,11.81,11.81,11.8,11.8,617,728352.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,504643,000001.SZ,1m,stock,000001.SZ,1789009703849539,1789009740000000,1789009740000,11.81,11.81,11.8,11.8,685,808597.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,510420,000001.SZ,1m,stock,000001.SZ,1789009706915549,1789009740000000,1789009740000,11.81,11.81,11.8,11.81,701,827492.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,515450,000001.SZ,1m,stock,000001.SZ,1789009709898173,1789009740000000,1789009740000,11.81,11.81,11.8,11.8,725,855814.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,520954,000001.SZ,1m,stock,000001.SZ,1789009712884216,1789009740000000,1789009740000,11.81,11.81,11.8,11.8,730,861715.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,526495,000001.SZ,1m,stock,000001.SZ,1789009715829949,1789009740000000,1789009740000,11.81,11.81,11.8,11.8,747,881775.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,532049,000001.SZ,1m,stock,000001.SZ,1789009718809541,1789009740000000,1789009740000,11.81,11.81,11.8,11.8,800,944316.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,537390,000001.SZ,1m,stock,000001.SZ,1789009721815902,1789009740000000,1789009740000,11.81,11.81,11.8,11.8,848,1000959.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,542768,000001.SZ,1m,stock,000001.SZ,1789009724866711,1789009740000000,1789009740000,11.81,11.81,11.8,11.8,919,1084741.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,548029,000001.SZ,1m,stock,000001.SZ,1789009727833762,1789009740000000,1789009740000,11.81,11.81,11.8,11.8,1000,1180328.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,553265,000001.SZ,1m,stock,000001.SZ,1789009730878781,1789009740000000,1789009740000,11.81,11.81,11.8,11.81,1003,1183871.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,558370,000001.SZ,1m,stock,000001.SZ,1789009733838848,1789009740000000,1789009740000,11.81,11.81,11.8,11.8,1021,1205111.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,564080,000001.SZ,1m,stock,000001.SZ,1789009736860261,1789009740000000,1789009740000,11.81,11.81,11.8,11.8,1083,1278272.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,570555,000001.SZ,1m,stock,000001.SZ,1789009740253359,1789009800000000,1789009800000,11.8,11.8,11.8,11.8,37,43663.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,575214,000001.SZ,1m,stock,000001.SZ,1789009742834463,1789009800000000,1789009800000,11.8,11.81,11.8,11.81,39,46025.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,580801,000001.SZ,1m,stock,000001.SZ,1789009745856551,1789009800000000,1789009800000,11.8,11.81,11.8,11.81,47,55473.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,586155,000001.SZ,1m,stock,000001.SZ,1789009748827909,1789009800000000,1789009800000,11.8,11.81,11.8,11.81,47,55473.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,591306,000001.SZ,1m,stock,000001.SZ,1789009751828168,1789009800000000,1789009800000,11.8,11.81,11.8,11.8,78,92055.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,596613,000001.SZ,1m,stock,000001.SZ,1789009754817280,1789009800000000,1789009800000,11.8,11.81,11.8,11.8,103,121780.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,601976,000001.SZ,1m,stock,000001.SZ,1789009757816924,1789009800000000,1789009800000,11.8,11.81,11.8,11.81,151,178436.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,607222,000001.SZ,1m,stock,000001.SZ,1789009760836961,1789009800000000,1789009800000,11.8,11.81,11.8,11.81,182,215019.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,612625,000001.SZ,1m,stock,000001.SZ,1789009763826805,1789009800000000,1789009800000,11.8,11.81,11.8,11.81,301,355456.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,617895,000001.SZ,1m,stock,000001.SZ,1789009766884257,1789009800000000,1789009800000,11.8,11.81,11.8,11.81,357,421559.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,623108,000001.SZ,1m,stock,000001.SZ,1789009769901360,1789009800000000,1789009800000,11.8,11.81,11.8,11.81,375,442802.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,628424,000001.SZ,1m,stock,000001.SZ,1789009772917680,1789009800000000,1789009800000,11.8,11.81,11.8,11.8,413,487654.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,633578,000001.SZ,1m,stock,000001.SZ,1789009775836686,1789009800000000,1789009800000,11.8,11.81,11.8,11.8,425,501817.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,638441,000001.SZ,1m,stock,000001.SZ,1789009778816436,1789009800000000,1789009800000,11.8,11.81,11.8,11.81,772,911552.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,643734,000001.SZ,1m,stock,000001.SZ,1789009781834848,1789009800000000,1789009800000,11.8,11.81,11.8,11.8,806,951696.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,648986,000001.SZ,1m,stock,000001.SZ,1789009784895283,1789009800000000,1789009800000,11.8,11.81,11.8,11.8,813,959956.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,654154,000001.SZ,1m,stock,000001.SZ,1789009787812923,1789009800000000,1789009800000,11.8,11.81,11.8,11.8,829,978842.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,659369,000001.SZ,1m,stock,000001.SZ,1789009790861173,1789009800000000,1789009800000,11.8,11.81,11.8,11.8,945,1115722.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,664506,000001.SZ,1m,stock,000001.SZ,1789009793812570,1789009800000000,1789009800000,11.8,11.81,11.8,11.8,1017,1200687.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,669661,000001.SZ,1m,stock,000001.SZ,1789009796814262,1789009800000000,1789009800000,11.8,11.81,11.8,11.8,1042,1230190.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,675854,000001.SZ,1m,stock,000001.SZ,1789009800242233,1789009860000000,1789009860000,11.8,11.8,11.8,11.8,90,106203.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,679975,000001.SZ,1m,stock,000001.SZ,1789009802830193,1789009860000000,1789009860000,11.8,11.8,11.8,11.8,139,164028.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
